Hugo_Symbol	CPTAC_MSI	CPTAC_MSS	pval	or	ci.up	ci.low	adjPval	Freq_Ratio_MSI_CPTAC	Freq_Ratio_MSS_CPTAC
GLI1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
HNF1A	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
INVS	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ITGAV	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
JARID2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
KIAA1549	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
KIF21A	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
LARP4B	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
MDN1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
MON2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
MSH6	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
MTOR	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
NCOR1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
NR4A2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
PRDM2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ROBO1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SCLT1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SLC16A4	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SMTN	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SNX25	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SORBS2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
STAMBPL1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
SUCLG2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
TBX3	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
TEAD2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
THAP5	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
TRIP11	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
TRRAP	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
WDTC1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ZEB1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ZMIZ1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ZMYM2	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
TRPS1	6	4	0.0015197249525949	10.867348873205769	65.1416204055914	2.0860953957771224	0.00179603858033943	0.42857142857142855	0.06153846153846154
FAT4	5	4	0.00725878183232166	8.119918264718413	49.56772043174092	1.456540178787998	0.00836138160431989	0.35714285714285715	0.06153846153846154
PIK3CA	7	11	0.01336319021052837	4.782210292811708	19.89935731281951	1.1770842216745014	0.01520062886447602	0.5	0.16923076923076924
SMAD2	4	5	0.04743217999040893	4.6675819403016	26.209695077221063	0.7880552388255277	0.05328800468058288	0.2857142857142857	0.07692307692307693
KMT2C	4	6	0.07038840750931592	3.8426464677927608	19.905267284729057	0.675194758099585	0.07811396443107012	0.2857142857142857	0.09230769230769233
